# Lon,Lat,Depth
139.002753,-18.611170,40.0
139.002736,-18.521238,39.0
139.002710,-18.386340,39.0
139.499307,-21.590095,47.4
139.498515,-21.455199,49.0
139.497988,-21.365268,50.0
139.496669,-21.140441,53.0
139.495878,-21.005546,55.0
139.494823,-20.825684,52.2
139.490603,-20.106239,44.0
139.490075,-20.016309,43.7
139.489284,-19.881413,43.7
139.487965,-19.656586,44.0
139.487174,-19.521690,44.0
139.486119,-19.341829,44.0
139.484800,-19.117002,43.0
139.484272,-19.027072,44.0
139.483217,-18.847210,47.0
139.482162,-18.667349,46.0
139.481371,-18.532453,45.7
139.480843,-18.442522,46.0
139.994352,-19.099845,39.5
139.994873,-19.009914,43.5
139.995394,-18.919983,48.0
139.996956,-18.650191,50.0
139.997997,-18.470330,57.0
139.998779,-18.335434,55.0
140.000080,-18.110607,41.0
140.000861,-17.975711,39.0
140.001382,-17.885781,42.0
